"COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1963","0.000000000013871666666625","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1964","0.00000000001403916666661667","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1965","0.00000000001695666666664166","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1966","0.00000000002091499999996666","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1967","0.00000000003334249999999168","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1968","0.000000000035","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1969","0.000000000035","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1970","0.00000000003791666665666668","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1971","0.00000000004521666665666668","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1972","0.00000000004999999999","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1973","0.00000000004999999999","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1974","0.00000000004999999999","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1975","0.000000000365749999995","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1976","0.000000001399833333331667","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1977","0.000000004076333333328335","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1978","0.000000007957499999995832","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1979","0.00000001316966666664084","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1980","0.0000000183715833333225","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1981","0.0000000440269166666725","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1982","0.0000002592253333332632","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1983","0.000001052995749958412","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1984","0.0000067649116666","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1985","0.0000601809","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1986","0.00009430316666666668","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1987","0.0002144298333333333","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1988","0.0008752604166666668","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1989","0.04233396083333332","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1990","0.4875890833333332","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1991","0.9535544166666665","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1992","0.9906416666666668","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1993","0.9989458333333332","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1994","0.9990083333333335","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1995","0.99975","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1996","0.9996625","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1997","0.9995","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1998","0.9995","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","1999","0.9995","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2000","0.9995","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2001","0.9995","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2002","3.063256666666668","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2003","2.900629166666668","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2004","2.92330081890332","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2005","2.9036575","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2006","3.054313333333332","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2007","3.09564884920635","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2008","3.14416455988456","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2009","3.710106830523278","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2010","3.8962951544705","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2011","4.110139576213262","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2012","4.536934360187455","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2013","5.459352664657038","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2014","8.075275992813338","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2015","9.23318552472429","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2016","14.75817508733958","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2017","16.56270692514114","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2018","28.09499166666668","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2019","48.14789166666668","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2020","70.53916666666668","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2021","94.99074166666665","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2022","130.61655","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2023","296.2580416666668","Units"
"Argentina","Domestic currency per US Dollar","Period average","Annual","2024","914.6948833333332","Units"
